minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover,district
21.586,27.711,3.79,4.79,25.979,5.937,24.61,178.283,55.294,cluster_2
21.202,26.624,3.45,4.22,25.042,3.7,23.898000000000003,33.511,68.44,cluster_2
21.008000000000006,26.45300000000001,3.47,4.2,26.769,2.499,23.708,33.558,68.969,cluster_2
21.05,26.538,3.53,4.35,25.196,2.514,23.775,22.41800000000001,63.101000000000006,cluster_2
20.96,26.787,3.57,4.5,24.553,2.404,23.86,22.705,58.87600000000001,cluster_2
20.767,26.843000000000004,3.42,4.34,25.562,6.195,23.783,126.476,58.87600000000001,cluster_2
20.509,26.831,3.2,4.22,24.937,10.437,23.658,171.643,53.265,cluster_2
19.314,26.277,3.11,4.33,23.496,4.755,22.751,136.83,42.597,cluster_2
19.735,27.661,3.47,4.84,22.126,2.296,23.685,15.677,33.263000000000005,cluster_2
20.223,28.272,3.85,5.27,22.525,0.938,24.246,5.8679999999999986,31.329,cluster_2
20.62,28.357,4.09,5.46,23.998,3.242,24.463,13.472,33.098,cluster_2
22.567,29.586,4.19,5.25,26.369,2.373,26.077,34.383,46.483,cluster_2
22.375,28.529,3.86,4.85,27.031,5.282,25.427,67.264,55.294,cluster_2
21.365,26.787,3.47,4.25,26.432,12.865,24.061,54.934,68.44,cluster_2
20.791,26.235,3.45,4.21,25.664,6.107,23.489,31.626,68.969,cluster_2
20.775,26.278,3.51,4.35,25.259,3.446,23.516,25.423,63.101000000000006,cluster_2
21.028,26.855,3.57,4.49,25.308000000000003,5.25,23.928,141.99200000000005,58.87600000000001,cluster_2
20.918000000000006,26.993,3.44,4.36,25.546,7.0420000000000025,23.934,170.86900000000003,58.87600000000001,cluster_2
19.91,26.257,3.16,4.2,24.587,9.592,23.06,146.47,53.265,cluster_2
19.655,26.618,3.13,4.33,23.496,5.374,23.091,121.778,42.597,cluster_2
19.097,27.025,3.42,4.83,21.958,2.358,23.048,95.941,33.263000000000005,cluster_2
20.091,28.114,3.83,5.21,22.589,0.639,24.088,0.995,31.329,cluster_2
21.447,29.183000000000003,4.17,5.52,24.179,1.868,25.29,6.4129999999999985,33.098,cluster_2
21.818,28.837,4.13,5.25,26.369,5.975,25.327,193.379,46.483,cluster_2
22.422,28.561,3.86,4.83,27.031,2.246,25.458,8.287,55.294,cluster_2
21.272,26.695,3.47,4.25,26.39,9.5,23.969,208.151,68.44,cluster_2
20.868,26.312,3.46,4.21,25.664,3.865,23.566,24.181,68.969,cluster_2
20.732,26.234,3.5,4.34,25.259,2.369,23.472,45.745,63.101000000000006,cluster_2
20.985,26.791,3.56,4.48,25.308000000000003,3.848,23.864,54.299,58.87600000000001,cluster_2
20.757,26.834,3.43,4.36,25.588,7.0310000000000015,23.774,166.925,58.87600000000001,cluster_2
19.787,26.108,3.14,4.2,24.859,11.899,22.937,424.028,53.265,cluster_2
19.156,26.119,3.08,4.31,22.171,1.8,22.593000000000004,11.380999999999998,42.597,cluster_2
19.451,27.378,3.45,4.84,21.958,3.309,23.401,74.232,33.263000000000005,cluster_2
19.366,27.416,3.77,5.2,22.484,0.428,23.391,0.757,31.329,cluster_2
21.314,29.051,4.17,5.49,24.179,1.6969999999999998,25.158,3.735,33.098,cluster_2
21.787,28.806,4.13,5.22,26.369,5.705,25.296,82.012,46.483,cluster_2
22.772,28.9,3.9,4.82,27.031,1.828,25.797,4.542,55.294,cluster_2
21.937,27.358,3.53,4.28,26.39,8.732999999999999,24.63300000000001,235.404,68.44,cluster_2
21.019,26.464,3.47,4.23,25.664,5.737,23.717,70.337,68.969,cluster_2
21.041,26.528,3.52,4.35,25.259,4.311,23.765,78.86,63.101000000000006,cluster_2
21.123,26.951,3.58,4.5,25.308000000000003,3.526,24.024,67.016,58.87600000000001,cluster_2
20.694000000000006,26.77,3.41,4.36,25.611,8.22,23.71,268.54900000000004,58.87600000000001,cluster_2
20.131,26.452,3.17,4.21,24.937,5.806,23.255,250.636,53.265,cluster_2
19.049,26.027,3.08,4.34,22.408,3.712,22.503,87.212,42.597,cluster_2
19.061,26.991,3.41,4.82,21.958,1.246,23.014,47.71100000000001,33.263000000000005,cluster_2
19.517,27.538,3.76,5.21,22.568,2.358,23.515,65.058,31.329,cluster_2
